,country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm,Gini coefficient
493,13,Denmark,10,10.0,2015-06-18,201506,13001,Liberal Alliance,,40,,348,5,2019.0,0.751,0.652,7.534,0.0,,13.0,175.0,9,141,2023-1,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556,0.0,0.0,0.0,5.556,0.0,0.0,0.0,4.63,0.0,11.111,0.0,0.0,18.519,0.0,0.0,0.0,0.0,0.0,0.926,0.0,0.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,3.704,6.481,1.852,2.778,7.407,0.0,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,13.889,0.0,0.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.407,0.0,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.889,0.0,28.704,0.0,18.519,14.815,0.0,2023a,UQUQQZ,0.28177446
494,13,Denmark,10,10.0,2015-06-18,201506,13110,Alternativ,,20,,348,5,2019.0,0.751,0.652,4.796,0.0,,9.0,175.0,9,141,2023-1,165.0,0.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.879,0.0,0.0,0.0,0.0,5.455,0.0,0.606,1.212,10.303,1.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,5.455,0.0,0.0,0.0,26.061,0.0,0.0,4.848,0.606,0.0,8.485,0.0,0.606,0.0,0.0,0.0,0.0,2.424,0.0,0.0,20.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.879,0.606,0.0,0.0,0.0,0.0,0.0,2.424,23.636,0.606,0.0,0.0,0.0,0.0,0.0,2.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.697,7.273,1.212,5.455,0.0,2023a,6RYA49,0.28177446
495,13,Denmark,10,10.0,2015-06-18,201506,13229,Red-Green Unity List,EL,20,,348,5,2019.0,0.751,0.652,7.799,0.0,,14.0,175.0,9,141,2023-1,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,0.893,0.0,0.0,0.893,0.0,0.0,0.0,0.0,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357,0.0,0.0,8.036,4.464,0.0,21.429,24.107,0.0,0.893,0.0,0.0,15.179,0.0,0.0,0.0,0.0,2.679,0.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.036,0.0,0.0,0.0,15.179,0.0,0.0,0.0,0.0,0.0,2.679,0.0,0.0,0.0,0.0,0.0,0.0,-46.429,0.0,0.0,45.536,0.893,2023a,CYZGPW,0.28177446
496,13,Denmark,10,10.0,2015-06-18,201506,13230,Socialist People’s Party,SF,20,,348,5,2019.0,0.751,0.652,4.194,0.0,,7.0,175.0,9,141,2023-1,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.808,17.617,0.0,0.0,22.28,0.0,46.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.663,0.0,0.0,0.0,0.0,0.0,0.0,8.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.249,0.0,0.0,22.28,0.0,2023a,UQNU6D,0.28177446
497,13,Denmark,10,10.0,2015-06-18,201506,13320,Social Democratic Party,SD,30,,348,5,2019.0,0.751,0.652,26.284,0.0,,47.0,175.0,1,141,2023-1,574.0,0.348,0.0,0.0,0.0,0.0,0.0,0.0,1.045,1.568,0.697,0.0,0.0,0.0,0.0,0.0,0.523,0.0,0.0,0.0,12.718,0.0,1.916,0.0,2.265,0.0,0.0,0.348,0.0,2.091,2.613,4.181,0.0,0.0,3.31,0.0,0.871,4.878,0.0,10.279,20.557,0.0,7.666,0.0,4.704,0.0,0.0,0.0,7.666,0.174,0.0,2.962,1.394,0.0,2.439,0.0,0.0,2.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.544,0.0,0.174,0.0,0.0,0.0,0.0,0.871,0.523,4.181,0.0,0.0,7.666,0.0,0.174,0.0,0.0,0.0,0.0,0.0,2.962,0.0,2.439,0.0,-2.091,2.265,3.31,30.836,0.0,2023a,A5KO1T,0.28177446
498,13,Denmark,10,10.0,2015-06-18,201506,13410,Danish Social-Liberal Party,RV,40,,348,5,2020.0,0.751,0.652,4.575,0.0,,8.0,175.0,9,141,2023-1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,3.125,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,3.125,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,9.375,0.0,15.625,6.25,0.0,0.0,0.0,3.125,6.25,0.0,0.0,0.0,3.125,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,9.375,0.0,0.0,0.0,0.0,9.375,0.0,3.125,0.0,0.0,0.0,0.0,3.125,3.125,0.0,0.0,6.25,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,0.0,21.875,0.0,2023a,7OSYEJ,0.28177446
499,13,Denmark,10,10.0,2015-06-18,201506,13420,Liberals,V,40,,348,5,2019.0,0.751,0.652,19.471,0.0,,34.0,175.0,9,141,2023-1,101.0,7.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,4.95,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,19.802,7.921,0.0,0.0,4.95,0.0,0.0,0.0,15.842,0.0,0.0,13.861,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,15.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.861,0.0,0.0,0.0,17.822,0.0,4.95,20.792,0.0,2023a,E5TPBF,0.28177446
500,13,Denmark,10,10.0,2015-06-18,201506,13620,Conservative People’s Party,KF,60,,348,5,2019.0,0.751,0.652,3.353,0.0,,6.0,175.0,9,141,2023-1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.143,0.0,0.0,0.0,11.429,0.0,0.0,0.0,2.857,0.0,28.571,5.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571,0.0,5.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,34.286,0.0,0.0,2023a,QU3A48,0.28177446
501,13,Denmark,10,10.0,2015-06-18,201506,13720,Danish People’s Party,DF,70,,348,5,2019.0,0.751,0.652,21.078,0.0,,37.0,175.0,9,141,2023-1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,18.75,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,18.75,0.0,0.0,25.0,0.0,2023a,23J4F5,0.28177446
657,14,Finland,10,10.0,2015-04-19,201504,14110,Green Union,VL,10,,289,5,2019.0,0.849,0.735,8.526,0.0,,15.0,200.0,1,141,2023-1,278.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1.079,0.0,0.0,0.0,2.158,1.079,0.0,0.0,0.0,0.0,0.719,0.0,1.439,0.0,1.799,0.719,0.719,0.0,0.36,0.0,0.0,0.36,1.079,6.115,0.0,0.0,0.36,0.0,0.0,23.022,0.36,12.95,15.827,0.0,16.547,0.0,1.799,0.719,0.36,0.0,0.0,0.0,0.0,0.719,8.633,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.799,0.36,1.079,0.0,0.0,0.0,1.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.799,0.0,0.0,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719,0.0,0.0,0.0,-37.05,1.439,0.36,28.777,0.0,2023a,X1HRWS,0.2710204
658,14,Finland,10,10.0,2015-04-19,201504,14223,Left Wing Alliance,VAS,20,,289,5,2019.0,0.849,0.735,7.132,0.0,,12.0,200.0,1,141,2023-1,561.0,0.0,0.0,0.0,0.357,0.891,2.496,0.891,3.387,0.178,0.178,0.178,1.07,2.317,0.0,0.0,1.426,0.0,2.496,0.178,0.0,0.0,0.535,4.813,0.535,0.0,0.357,0.0,0.0,3.03,0.891,11.23,0.535,0.713,0.357,0.0,0.713,8.556,8.556,9.447,12.478,0.0,8.021,0.0,0.0,0.535,0.0,0.535,0.891,0.178,0.357,0.357,9.804,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.0,0.357,0.713,2.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713,0.0,0.0,0.357,0.178,0.891,0.0,0.178,0.0,0.178,0.0,0.178,0.0,0.357,0.0,0.0,0.0,-42.781,5.882,0.357,21.925,3.387,2023a,Z6BGNP,0.2710204
659,14,Finland,10,10.0,2015-04-19,201504,14320,Finnish Social Democrats,SSDP,30,,289,5,2019.0,0.849,0.735,16.51,0.0,,34.0,200.0,1,141,2023-1,248.0,0.0,0.0,0.0,0.0,3.226,0.0,0.806,0.806,2.419,0.0,0.403,0.403,0.0,0.0,0.0,1.21,0.0,1.613,0.0,0.0,0.0,4.032,1.21,0.806,0.0,0.403,0.0,0.0,2.823,5.242,7.661,0.0,0.0,1.21,0.0,1.21,3.226,2.016,10.484,17.742,0.806,6.048,0.0,0.806,0.403,0.0,0.403,1.613,3.226,0.806,0.0,14.516,0.0,0.0,0.0,0.0,2.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.806,0.0,0.0,0.403,1.613,0.0,3.226,0.0,0.403,0.403,0.0,0.0,0.0,0.0,0.0,0.0,-27.016,2.016,1.21,28.226,0.806,2023a,7SRO5O,0.2710204
660,14,Finland,10,10.0,2015-04-19,201504,14520,Christian Democrats in Finland,KD,50,,289,5,2019.0,0.849,0.735,3.542,0.0,,5.0,200.0,1,141,2023-1,604.0,0.166,0.166,0.0,0.0,5.132,0.0,0.828,2.318,1.49,0.0,2.815,0.993,1.656,0.0,0.0,1.49,0.0,3.477,1.159,0.331,0.166,8.113,2.98,0.0,0.166,0.662,0.331,0.0,0.331,0.166,4.801,0.0,0.166,2.98,0.0,0.166,6.457,0.497,2.152,13.245,1.49,6.291,0.497,0.828,0.662,4.801,0.166,7.45,3.477,0.166,1.49,2.98,0.166,2.98,0.166,0.0,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.497,1.159,0.0,0.0,0.497,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.497,0.331,0.0,0.662,7.45,0.166,3.477,0.0,0.166,0.0,0.0,0.0,1.49,0.0,2.98,0.0,4.967,2.98,3.146,15.397,0.828,2023a,6LM6JL,0.2710204
661,14,Finland,10,10.0,2015-04-19,201504,14620,National Coalition,KK,60,,289,5,2019.0,0.849,0.735,18.198,0.0,,37.0,200.0,1,141,2023-1,359.0,0.557,0.836,0.557,0.0,6.128,0.0,0.0,2.507,1.95,0.0,0.0,1.393,0.557,0.0,0.0,0.279,0.0,6.407,0.0,0.0,0.0,5.571,1.671,0.0,0.0,0.836,0.557,0.0,0.0,2.507,11.421,0.0,0.0,6.128,0.0,1.114,8.078,0.0,1.114,8.914,0.836,13.37,0.557,0.0,0.557,0.0,0.0,3.064,0.836,0.0,0.0,9.192,1.671,0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836,0.557,0.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.114,0.0,0.0,0.0,0.557,3.064,0.0,0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836,0.0,-12.535,1.671,6.128,10.028,0.557,2023a,MUJ9BU,0.2710204
662,14,Finland,10,10.0,2015-04-19,201504,14810,Finnish Centre,SK,80,,289,5,2019.0,0.849,0.735,21.096,0.0,,49.0,200.0,1,141,2023-1,230.0,0.0,0.0,0.0,0.0,2.174,0.435,0.87,2.609,1.739,0.0,1.304,2.609,0.87,0.0,0.0,4.783,0.435,6.087,0.0,0.0,0.87,7.391,0.87,0.435,0.0,0.87,0.0,0.0,0.0,2.174,7.826,0.0,0.435,2.609,0.0,0.0,5.217,1.304,2.609,12.609,2.174,6.522,0.87,0.0,0.435,2.609,0.0,1.304,6.522,0.0,0.0,6.087,0.435,0.435,0.0,0.0,3.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174,0.435,0.435,0.0,0.0,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,1.304,0.0,6.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,-4.348,1.304,3.478,15.217,1.304,2023a,GPYLII,0.2710204
663,14,Finland,10,10.0,2015-04-19,201504,14820,True Finns,PS,70,,289,5,2019.0,0.849,0.735,17.654,0.0,,38.0,200.0,1,141,2023-1,1803.0,0.333,0.0,0.0,0.0,4.603,0.776,0.055,0.721,0.111,0.943,1.664,1.109,0.776,0.222,0.111,1.331,0.0,4.16,0.055,1.331,0.776,1.941,3.161,0.0,0.0,1.276,0.0,0.0,0.166,0.277,4.659,0.388,0.055,1.054,0.0,0.166,0.776,0.721,4.271,16.805,2.163,8.819,0.499,6.434,0.277,2.94,0.333,6.711,0.333,2.496,2.662,1.719,0.055,8.209,0.0,0.832,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887,0.222,0.666,0.0,0.0,0.111,1.331,0.0,0.0,0.0,0.0,0.0,0.0,0.166,2.662,3.771,0.0,0.277,6.711,0.055,0.333,0.0,2.163,0.0,0.333,0.666,1.997,0.0,8.209,0.0,-4.936,3.55,1.83,21.076,0.832,2023a,4Y7J59,0.2710204
664,14,Finland,10,10.0,2015-04-19,201504,14901,Swedish People’s Party,RKP/SFP,90,,289,5,2019.0,0.849,0.735,4.878,0.0,,10.0,200.0,1,141,2023-1,393.0,0.254,1.527,0.0,0.0,3.817,0.254,0.763,3.817,1.527,0.0,0.254,1.272,2.036,0.0,0.0,3.817,0.0,3.562,0.254,0.0,0.763,3.562,2.29,0.254,0.0,0.254,0.509,0.0,0.509,1.781,6.616,0.0,0.0,2.29,0.0,0.763,6.616,1.272,4.58,8.906,1.781,10.178,0.254,0.0,2.036,0.763,0.0,0.509,2.036,4.326,0.763,9.415,0.0,2.545,0.0,0.0,1.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018,0.254,2.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.0,2.036,0.509,0.0,2.036,0.0,3.053,1.018,0.254,0.0,0.763,0.0,2.545,0.0,-20.865,2.545,3.053,13.486,1.018,2023a,7O4A18,0.2710204
